Date;Time;<Дятьковская> СВ 110 кВ Ia;<Дятьковская> СР-1 110;
03.01.2022;09:00:00.000;160.216;1.0;
03.01.2022;09:30:00.000;160.259;1.0;
03.01.2022;10:00:00.000;165.262;1.0;
03.01.2022;10:30:00.000;158.728;1.0;
03.01.2022;11:00:00.000;163.132;1.0;
03.01.2022;11:30:00.000;158.595;1.0;
03.01.2022;12:00:00.000;159.689;1.0;
03.01.2022;12:30:00.000;155.898;1.0;
03.01.2022;13:00:00.000;161.536;1.0;
03.01.2022;13:30:00.000;151.543;1.0;
03.01.2022;14:00:00.000;159.168;1.0;
03.01.2022;14:30:00.000;156.759;1.0;
03.01.2022;15:00:00.000;155.778;1.0;
03.01.2022;15:30:00.000;154.334;1.0;
03.01.2022;16:00:00.000;156.207;1.0;
03.01.2022;16:30:00.000;159.241;1.0;
03.01.2022;17:00:00.000;165.661;1.0;
03.01.2022;17:30:00.000;163.036;1.0;
03.01.2022;18:00:00.000;160.886;1.0;
03.01.2022;18:30:00.000;162.446;1.0;
03.01.2022;19:00:00.000;164.310;1.0;
03.01.2022;19:30:00.000;159.484;1.0;
03.01.2022;20:00:00.000;166.696;1.0;
03.01.2022;20:30:00.000;161.174;1.0;
03.01.2022;21:00:00.000;155.760;1.0;
03.01.2022;21:30:00.000;146.665;1.0;
03.01.2022;22:00:00.000;133.511;1.0;
03.01.2022;22:30:00.000;123.144;1.0;
03.01.2022;23:00:00.000;124.904;1.0;
03.01.2022;23:30:00.000;115.292;1.0;
04.01.2022;00:00:00.000;108.498;1.0;
04.01.2022;00:30:00.000;112.363;1.0;
04.01.2022;01:00:00.000;103.668;1.0;
04.01.2022;01:30:00.000;108.020;1.0;
04.01.2022;02:00:00.000;110.150;1.0;
04.01.2022;02:30:00.000;119.182;1.0;
04.01.2022;03:00:00.000;129.541;1.0;
04.01.2022;03:30:00.000;135.083;1.0;
04.01.2022;04:00:00.000;140.267;1.0;
04.01.2022;04:30:00.000;147.556;1.0;
04.01.2022;05:00:00.000;140.481;1.0;
04.01.2022;05:30:00.000;148.374;1.0;
04.01.2022;06:00:00.000;163.121;1.0;
04.01.2022;06:30:00.000;158.858;1.0;
04.01.2022;07:00:00.000;160.565;1.0;
04.01.2022;07:30:00.000;156.532;1.0;
04.01.2022;08:00:00.000;161.027;1.0;
